Location ID,Date,Cases to Date,Population,New Cases,Viral RNA Concentration (copies/gram of dry sludge),Proportion of Population Fully Vaccinated
9,43453,9636,47367,0,1813728.529,0.756888
10,43453,23986,86703,0, ,0.786721
11,43453,13626,42483,19,7709204.031,0.769857
12,43453,6701,29920,6, ,0.774316
1,43452,38153,79997,0,23016247.25, 
2,43452,4870,25015,4, , 
3,43452,5107,31488,6,2085266.073, 
4,43452,14099,63911,0, , 
5,43452,11741,44245,0, , 
6,43452,11700,48666,0, , 
7,43452,16350,72446,0, , 
8,43452,7948,38414,0, , 
9,43452,9636,47367,0, , 
10,43452,23986,86703,0,3223953.671, 
11,43452,13607,42483,2,11641696.3, 
12,43452,6695,29920,1,18277879.7, 
1,43451,38153,79997,0, , 
2,43451,4866,25015,0,11145083.11, 
3,43451,5101,31488,5,1283751.221, 
4,43451,14099,63911,0, , 
5,43451,11741,44245,0, , 
6,43451,11700,48666,0, , 
7,43451,16350,72446,0, , 
8,43451,7948,38414,0, , 
9,43451,9636,47367,0,3709206.362, 
10,43451,23986,86703,0, , 
